ProductID,ProductName,ProductGroupID,Description,SupplierID,price,Cost,StockQuantity,DateAdded,Manufacturer,ProductRating,ReorderLevel
1,Cookie - Oatmeal,92,Lorem kgdshfgds,60,8961.5,4963.0,32,2023-08-20,Fatz,3,9
2,Pastry - Carrot Muffin - Mini,27,Lorem kgdshfgds,79,9215.6,3783.0,42,2023-12-19,Vimbo,2,7
3,"Lamb - Racks, Frenched",67,Lorem kgdshfgds,67,6024.0,3792.0,80,2023-07-02,Meevee,3,3
10,Yogurt - Plain,74,Lorem kgdshfgds,71,2568.0,587.0,74,2023-02-23,Zoovu,3,5
11,Salmon - Sockeye Raw,46,Lorem kgdshfgds,74,2216.0,3172.0,71,2022-06-02,Zava,2,8
12,Salmon Steak - Cohoe 8 Oz,15,Lorem kgdshfgds,7,8001.0,4215.0,15,2023-04-30,Topicshots,2,5
15,"Tart Shells - Savory, 2",13,Lorem kgdshfgds,95,2783.6,907.0,65,2023-05-30,Voolia,1,1
16,Muffin Batt - Blueberry Passion,70,Lorem kgdshfgds,66,5224.9,1797.0,100,2023-09-06,Brainbox,1,1
17,Maple Syrup,82,Lorem kgdshfgds,11,8120.0,2620.0,89,2023-01-18,Buzzster,4,1
18,Beer - Blue,14,Lorem kgdshfgds,90,3418.4,927.0,6,2022-11-17,Trunyx,5,7
19,Corn Syrup,24,Lorem kgdshfgds,37,5870.9,3741.0,93,2022-09-12,Photobean,3,7
20,Tea - Herbal - 6 Asst,59,Lorem kgdshfgds,28,7471.0,1177.0,55,2023-03-08,Realbuzz,4,6
21,Venison - Striploin,18,Lorem kgdshfgds,48,8190.5,4477.0,70,2023-06-11,Demimbu,1,2
22,Basil - Thai,24,Lorem kgdshfgds,69,9187.9,3530.0,16,2023-04-29,Geba,5,4
23,"Wine - White, Riesling, Semi - Dry",90,Lorem kgdshfgds,8,9022.4,4683.0,64,2022-07-17,Twimm,4,6
24,Kellogs Cereal In A Cup,46,Lorem kgdshfgds,43,5700.7,4142.0,43,2022-12-25,Katz,2,8
25,Banana,10,Lorem kgdshfgds,57,8381.6,2632.0,10,2023-03-18,Yacero,3,2
26,Steel Wool,87,Lorem kgdshfgds,2,2352.3,4432.0,83,2022-10-23,Dynava,3,5
27,Beer - True North Lager,8,Lorem kgdshfgds,20,6197.7,3304.0,60,2023-03-25,Browsezoom,4,1
28,V8 Pet,1,Lorem kgdshfgds,59,1938.0,760.0,22,2023-03-17,Leenti,4,5
29,Bread - Raisin Walnut Oval,39,Lorem kgdshfgds,7,4307.0,749.0,57,2023-09-16,Browsedrive,2,7
30,Peas Snow,13,Lorem kgdshfgds,26,3447.3,1197.0,1,2023-02-28,Linkbuzz,4,5
31,Carrots - Jumbo,97,Lorem kgdshfgds,93,5135.1,1826.0,74,2023-04-29,Edgeify,3,2
32,Table Cloth 54x54 White,56,Lorem kgdshfgds,48,6764.4,3819.0,78,2023-07-09,Nlounge,4,6
33,Tuna - Fresh,57,Lorem kgdshfgds,95,7168.4,2227.0,100,2023-09-01,Topicware,1,6
34,Beef - Montreal Smoked Brisket,67,Lorem kgdshfgds,64,2189.4,2555.0,69,2023-02-26,Skyble,5,9
35,Dragon Fruit,1,Lorem kgdshfgds,57,5328.6,4253.0,92,2022-05-19,Feedmix,3,4
36,Banana,74,Lorem kgdshfgds,46,1516.0,1138.0,93,2023-05-30,Realcube,1,2
37,Wood Chips - Regular,28,Lorem kgdshfgds,56,5109.9,3290.0,61,2022-04-26,Thoughtstorm,2,6
38,Goulash Seasoning,41,Lorem kgdshfgds,27,5665.2,2948.0,89,2022-04-13,Centizu,5,10
39,Onions - White,22,Lorem kgdshfgds,5,7789.6,4873.0,33,2023-06-05,Yodo,2,1
40,"Wine - Red, Wolf Blass, Yellow",26,Lorem kgdshfgds,5,7980.7,1792.0,90,2022-01-31,Dabshots,1,4
41,Wine - Peller Estates Late,4,Lorem kgdshfgds,92,5993.6,2439.0,71,2023-11-16,Feednation,5,10
